"181021198"	"2018-10-21"	"198"	"7,2,8,0,1"	"7"	"2"	"8"	"0"	"1"
"181021199"	"2018-10-21"	"199"	"9,3,7,0,6"	"9"	"3"	"7"	"0"	"6"
"181021200"	"2018-10-21"	"200"	"4,5,2,7,1"	"4"	"5"	"2"	"7"	"1"
"181021201"	"2018-10-21"	"201"	"6,8,4,4,8"	"6"	"8"	"4"	"4"	"8"
"181021202"	"2018-10-21"	"202"	"5,0,1,9,1"	"5"	"0"	"1"	"9"	"1"
"181021203"	"2018-10-21"	"203"	"0,9,3,4,6"	"0"	"9"	"3"	"4"	"6"
"181021204"	"2018-10-21"	"204"	"6,2,9,6,7"	"6"	"2"	"9"	"6"	"7"
"181021205"	"2018-10-21"	"205"	"7,0,7,2,5"	"7"	"0"	"7"	"2"	"5"
"181021206"	"2018-10-21"	"206"	"7,3,9,1,7"	"7"	"3"	"9"	"1"	"7"
"181021207"	"2018-10-21"	"207"	"8,6,1,7,1"	"8"	"6"	"1"	"7"	"1"
"181021208"	"2018-10-21"	"208"	"6,7,0,3,8"	"6"	"7"	"0"	"3"	"8"
"181021209"	"2018-10-21"	"209"	"3,8,1,6,4"	"3"	"8"	"1"	"6"	"4"
"181021210"	"2018-10-21"	"210"	"0,1,0,8,3"	"0"	"1"	"0"	"8"	"3"
"181021211"	"2018-10-21"	"211"	"1,8,9,2,7"	"1"	"8"	"9"	"2"	"7"
"181021212"	"2018-10-21"	"212"	"3,4,4,7,9"	"3"	"4"	"4"	"7"	"9"
"181021213"	"2018-10-21"	"213"	"0,4,2,1,9"	"0"	"4"	"2"	"1"	"9"
"181021214"	"2018-10-21"	"214"	"9,5,2,4,7"	"9"	"5"	"2"	"4"	"7"
"181021215"	"2018-10-21"	"215"	"3,2,0,4,0"	"3"	"2"	"0"	"4"	"0"
"181021216"	"2018-10-21"	"216"	"0,9,8,2,1"	"0"	"9"	"8"	"2"	"1"
"181021217"	"2018-10-21"	"217"	"8,4,3,5,5"	"8"	"4"	"3"	"5"	"5"
"181021218"	"2018-10-21"	"218"	"4,8,7,7,6"	"4"	"8"	"7"	"7"	"6"
"181021219"	"2018-10-21"	"219"	"1,4,5,8,8"	"1"	"4"	"5"	"8"	"8"
"181021220"	"2018-10-21"	"220"	"9,5,9,2,5"	"9"	"5"	"9"	"2"	"5"
