issue	ymd	term	record	wan	qian	bai	shi	ge
"180908001"	"2018-09-08"	"1"	"2,8,6,4,9"	"2"	"8"	"6"	"4"	"9"
"180908002"	"2018-09-08"	"2"	"1,5,9,2,8"	"1"	"5"	"9"	"2"	"8"
"180908003"	"2018-09-08"	"3"	"7,9,3,5,8"	"7"	"9"	"3"	"5"	"8"
"180908004"	"2018-09-08"	"4"	"3,2,9,3,2"	"3"	"2"	"9"	"3"	"2"
"180908005"	"2018-09-08"	"5"	"9,0,2,8,1"	"9"	"0"	"2"	"8"	"1"
"180908006"	"2018-09-08"	"6"	"1,6,5,8,3"	"1"	"6"	"5"	"8"	"3"
"180908007"	"2018-09-08"	"7"	"0,2,5,3,5"	"0"	"2"	"5"	"3"	"5"
"180908008"	"2018-09-08"	"8"	"9,9,4,8,8"	"9"	"9"	"4"	"8"	"8"
"180908009"	"2018-09-08"	"9"	"1,3,4,4,5"	"1"	"3"	"4"	"4"	"5"
"180908010"	"2018-09-08"	"10"	"2,9,8,4,2"	"2"	"9"	"8"	"4"	"2"
"180908011"	"2018-09-08"	"11"	"9,4,1,6,1"	"9"	"4"	"1"	"6"	"1"
"180908012"	"2018-09-08"	"12"	"6,2,8,5,4"	"6"	"2"	"8"	"5"	"4"
"180908013"	"2018-09-08"	"13"	"7,2,1,3,1"	"7"	"2"	"1"	"3"	"1"
"180908014"	"2018-09-08"	"14"	"4,8,7,6,4"	"4"	"8"	"7"	"6"	"4"
"180908015"	"2018-09-08"	"15"	"5,8,2,3,5"	"5"	"8"	"2"	"3"	"5"
"180908016"	"2018-09-08"	"16"	"5,4,6,1,5"	"5"	"4"	"6"	"1"	"5"
"180908017"	"2018-09-08"	"17"	"6,6,6,2,4"	"6"	"6"	"6"	"2"	"4"
"180908018"	"2018-09-08"	"18"	"2,3,7,6,7"	"2"	"3"	"7"	"6"	"7"
"180908019"	"2018-09-08"	"19"	"4,8,7,7,6"	"4"	"8"	"7"	"7"	"6"
