issue	ymd	term	record	wan	qian	bai	shi	ge
"180905001"	"2018-09-05"	"1"	"1,8,8,7,0"	"1"	"8"	"8"	"7"	"0"
"180905002"	"2018-09-05"	"2"	"5,5,3,2,9"	"5"	"5"	"3"	"2"	"9"
"180905003"	"2018-09-05"	"3"	"1,4,7,6,8"	"1"	"4"	"7"	"6"	"8"
"180905004"	"2018-09-05"	"4"	"8,5,1,4,5"	"8"	"5"	"1"	"4"	"5"
"180905005"	"2018-09-05"	"5"	"2,0,2,6,1"	"2"	"0"	"2"	"6"	"1"
"180905006"	"2018-09-05"	"6"	"4,6,3,0,7"	"4"	"6"	"3"	"0"	"7"
"180905007"	"2018-09-05"	"7"	"7,5,1,6,2"	"7"	"5"	"1"	"6"	"2"
"180905008"	"2018-09-05"	"8"	"8,2,2,7,6"	"8"	"2"	"2"	"7"	"6"
"180905009"	"2018-09-05"	"9"	"3,4,6,7,4"	"3"	"4"	"6"	"7"	"4"
"180905010"	"2018-09-05"	"10"	"6,9,1,2,7"	"6"	"9"	"1"	"2"	"7"
"180905011"	"2018-09-05"	"11"	"0,1,9,2,1"	"0"	"1"	"9"	"2"	"1"
"180905012"	"2018-09-05"	"12"	"7,4,6,1,3"	"7"	"4"	"6"	"1"	"3"
"180905013"	"2018-09-05"	"13"	"6,9,5,7,8"	"6"	"9"	"5"	"7"	"8"
"180905014"	"2018-09-05"	"14"	"4,0,5,3,8"	"4"	"0"	"5"	"3"	"8"
"180905015"	"2018-09-05"	"15"	"2,8,3,1,1"	"2"	"8"	"3"	"1"	"1"
"180905016"	"2018-09-05"	"16"	"9,5,7,9,8"	"9"	"5"	"7"	"9"	"8"
"180905017"	"2018-09-05"	"17"	"1,3,9,6,9"	"1"	"3"	"9"	"6"	"9"
"180905018"	"2018-09-05"	"18"	"1,5,6,3,8"	"1"	"5"	"6"	"3"	"8"
"180905019"	"2018-09-05"	"19"	"1,7,7,1,7"	"1"	"7"	"7"	"1"	"7"
"180905020"	"2018-09-05"	"20"	"5,6,6,2,4"	"5"	"6"	"6"	"2"	"4"
"180905021"	"2018-09-05"	"21"	"1,2,5,8,6"	"1"	"2"	"5"	"8"	"6"
"180905022"	"2018-09-05"	"22"	"4,3,9,4,0"	"4"	"3"	"9"	"4"	"0"
"180905023"	"2018-09-05"	"23"	"8,4,4,2,6"	"8"	"4"	"4"	"2"	"6"
"180905024"	"2018-09-05"	"24"	"3,8,3,4,6"	"3"	"8"	"3"	"4"	"6"
"180905025"	"2018-09-05"	"25"	"4,6,8,9,3"	"4"	"6"	"8"	"9"	"3"
"180905026"	"2018-09-05"	"26"	"2,2,2,0,6"	"2"	"2"	"2"	"0"	"6"
"180905027"	"2018-09-05"	"27"	"9,9,8,6,7"	"9"	"9"	"8"	"6"	"7"
"180905028"	"2018-09-05"	"28"	"8,7,3,1,8"	"8"	"7"	"3"	"1"	"8"
"180905029"	"2018-09-05"	"29"	"0,1,3,6,0"	"0"	"1"	"3"	"6"	"0"
"180905030"	"2018-09-05"	"30"	"2,9,0,2,2"	"2"	"9"	"0"	"2"	"2"
"180905031"	"2018-09-05"	"31"	"4,2,9,0,6"	"4"	"2"	"9"	"0"	"6"
"180905032"	"2018-09-05"	"32"	"2,0,9,7,0"	"2"	"0"	"9"	"7"	"0"
"180905033"	"2018-09-05"	"33"	"8,6,7,5,3"	"8"	"6"	"7"	"5"	"3"
"180905034"	"2018-09-05"	"34"	"7,5,7,4,8"	"7"	"5"	"7"	"4"	"8"
"180905035"	"2018-09-05"	"35"	"6,3,7,1,3"	"6"	"3"	"7"	"1"	"3"
"180905036"	"2018-09-05"	"36"	"0,8,6,9,4"	"0"	"8"	"6"	"9"	"4"
"180905037"	"2018-09-05"	"37"	"0,9,6,4,2"	"0"	"9"	"6"	"4"	"2"
"180905038"	"2018-09-05"	"38"	"7,8,5,0,9"	"7"	"8"	"5"	"0"	"9"
"180905039"	"2018-09-05"	"39"	"6,1,5,3,6"	"6"	"1"	"5"	"3"	"6"
