issue	ymd	term	record	wan	qian	bai	shi	ge
"180904001"	"2018-09-04"	"1"	"8,7,4,9,0"	"8"	"7"	"4"	"9"	"0"
"180904002"	"2018-09-04"	"2"	"1,3,9,2,2"	"1"	"3"	"9"	"2"	"2"
"180904003"	"2018-09-04"	"3"	"4,9,5,2,8"	"4"	"9"	"5"	"2"	"8"
"180904004"	"2018-09-04"	"4"	"0,4,6,6,1"	"0"	"4"	"6"	"6"	"1"
"180904005"	"2018-09-04"	"5"	"5,8,3,9,9"	"5"	"8"	"3"	"9"	"9"
"180904006"	"2018-09-04"	"6"	"8,7,1,3,3"	"8"	"7"	"1"	"3"	"3"
"180904007"	"2018-09-04"	"7"	"7,7,4,1,7"	"7"	"7"	"4"	"1"	"7"
"180904008"	"2018-09-04"	"8"	"6,0,5,9,8"	"6"	"0"	"5"	"9"	"8"
"180904009"	"2018-09-04"	"9"	"9,3,1,2,4"	"9"	"3"	"1"	"2"	"4"
"180904010"	"2018-09-04"	"10"	"5,9,4,4,3"	"5"	"9"	"4"	"4"	"3"
"180904011"	"2018-09-04"	"11"	"2,0,9,9,1"	"2"	"0"	"9"	"9"	"1"
"180904012"	"2018-09-04"	"12"	"6,9,5,6,0"	"6"	"9"	"5"	"6"	"0"
"180904013"	"2018-09-04"	"13"	"3,1,3,1,9"	"3"	"1"	"3"	"1"	"9"
"180904014"	"2018-09-04"	"14"	"9,8,2,8,2"	"9"	"8"	"2"	"8"	"2"
"180904015"	"2018-09-04"	"15"	"8,2,9,8,5"	"8"	"2"	"9"	"8"	"5"
"180904016"	"2018-09-04"	"16"	"3,0,9,2,0"	"3"	"0"	"9"	"2"	"0"
"180904017"	"2018-09-04"	"17"	"1,2,9,6,8"	"1"	"2"	"9"	"6"	"8"
"180904018"	"2018-09-04"	"18"	"0,6,8,9,2"	"0"	"6"	"8"	"9"	"2"
"180904019"	"2018-09-04"	"19"	"5,7,2,6,4"	"5"	"7"	"2"	"6"	"4"
"180904020"	"2018-09-04"	"20"	"5,9,3,6,3"	"5"	"9"	"3"	"6"	"3"
"180904021"	"2018-09-04"	"21"	"4,5,7,1,8"	"4"	"5"	"7"	"1"	"8"
"180904022"	"2018-09-04"	"22"	"6,8,5,0,6"	"6"	"8"	"5"	"0"	"6"
"180904023"	"2018-09-04"	"23"	"4,4,5,8,5"	"4"	"4"	"5"	"8"	"5"
"180904024"	"2018-09-04"	"24"	"7,2,0,0,4"	"7"	"2"	"0"	"0"	"4"
"180904025"	"2018-09-04"	"25"	"6,0,2,0,5"	"6"	"0"	"2"	"0"	"5"
"180904026"	"2018-09-04"	"26"	"5,9,6,1,5"	"5"	"9"	"6"	"1"	"5"
"180904027"	"2018-09-04"	"27"	"1,2,4,0,4"	"1"	"2"	"4"	"0"	"4"
"180904028"	"2018-09-04"	"28"	"3,9,2,1,5"	"3"	"9"	"2"	"1"	"5"
"180904029"	"2018-09-04"	"29"	"6,6,5,7,4"	"6"	"6"	"5"	"7"	"4"
"180904030"	"2018-09-04"	"30"	"6,3,0,7,9"	"6"	"3"	"0"	"7"	"9"
"180904031"	"2018-09-04"	"31"	"7,5,9,4,6"	"7"	"5"	"9"	"4"	"6"
"180904032"	"2018-09-04"	"32"	"4,0,4,1,6"	"4"	"0"	"4"	"1"	"6"
"180904033"	"2018-09-04"	"33"	"8,0,8,5,7"	"8"	"0"	"8"	"5"	"7"
"180904034"	"2018-09-04"	"34"	"1,8,4,5,3"	"1"	"8"	"4"	"5"	"3"
"180904035"	"2018-09-04"	"35"	"1,8,0,8,2"	"1"	"8"	"0"	"8"	"2"
"180904036"	"2018-09-04"	"36"	"3,5,2,5,1"	"3"	"5"	"2"	"5"	"1"
"180904037"	"2018-09-04"	"37"	"6,0,6,4,1"	"6"	"0"	"6"	"4"	"1"
