issue	ymd	term	record	wan	qian	bai	shi	ge
"180907001"	"2018-09-07"	"1"	"7,5,1,2,4"	"7"	"5"	"1"	"2"	"4"
"180907002"	"2018-09-07"	"2"	"2,7,7,3,5"	"2"	"7"	"7"	"3"	"5"
"180907003"	"2018-09-07"	"3"	"5,8,3,6,1"	"5"	"8"	"3"	"6"	"1"
"180907004"	"2018-09-07"	"4"	"9,2,4,7,8"	"9"	"2"	"4"	"7"	"8"
"180907005"	"2018-09-07"	"5"	"6,9,2,5,4"	"6"	"9"	"2"	"5"	"4"
"180907006"	"2018-09-07"	"6"	"3,4,4,2,8"	"3"	"4"	"4"	"2"	"8"
"180907007"	"2018-09-07"	"7"	"3,3,8,9,6"	"3"	"3"	"8"	"9"	"6"
"180907008"	"2018-09-07"	"8"	"8,2,9,7,2"	"8"	"2"	"9"	"7"	"2"
"180907009"	"2018-09-07"	"9"	"9,1,6,0,4"	"9"	"1"	"6"	"0"	"4"
"180907010"	"2018-09-07"	"10"	"3,0,5,2,0"	"3"	"0"	"5"	"2"	"0"
"180907011"	"2018-09-07"	"11"	"8,7,1,7,8"	"8"	"7"	"1"	"7"	"8"
"180907012"	"2018-09-07"	"12"	"4,5,0,6,5"	"4"	"5"	"0"	"6"	"5"
"180907013"	"2018-09-07"	"13"	"1,8,6,0,4"	"1"	"8"	"6"	"0"	"4"
"180907014"	"2018-09-07"	"14"	"5,1,5,8,4"	"5"	"1"	"5"	"8"	"4"
"180907015"	"2018-09-07"	"15"	"3,6,7,3,1"	"3"	"6"	"7"	"3"	"1"
"180907016"	"2018-09-07"	"16"	"4,7,0,1,8"	"4"	"7"	"0"	"1"	"8"
"180907017"	"2018-09-07"	"17"	"6,0,7,5,0"	"6"	"0"	"7"	"5"	"0"
"180907018"	"2018-09-07"	"18"	"5,4,2,2,3"	"5"	"4"	"2"	"2"	"3"
"180907019"	"2018-09-07"	"19"	"9,4,7,7,1"	"9"	"4"	"7"	"7"	"1"
"180907020"	"2018-09-07"	"20"	"7,4,9,7,0"	"7"	"4"	"9"	"7"	"0"
"180907021"	"2018-09-07"	"21"	"3,7,9,4,1"	"3"	"7"	"9"	"4"	"1"
"180907022"	"2018-09-07"	"22"	"3,6,7,8,2"	"3"	"6"	"7"	"8"	"2"
"180907023"	"2018-09-07"	"23"	"9,5,1,3,6"	"9"	"5"	"1"	"3"	"6"
"180907024"	"2018-09-07"	"24"	"2,3,9,3,3"	"2"	"3"	"9"	"3"	"3"
"180907025"	"2018-09-07"	"25"	"0,6,0,5,0"	"0"	"6"	"0"	"5"	"0"
"180907026"	"2018-09-07"	"26"	"7,3,5,8,6"	"7"	"3"	"5"	"8"	"6"
"180907027"	"2018-09-07"	"27"	"1,4,6,4,2"	"1"	"4"	"6"	"4"	"2"
"180907028"	"2018-09-07"	"28"	"2,5,3,8,6"	"2"	"5"	"3"	"8"	"6"
"180907029"	"2018-09-07"	"29"	"1,0,3,1,0"	"1"	"0"	"3"	"1"	"0"
"180907030"	"2018-09-07"	"30"	"7,0,6,5,8"	"7"	"0"	"6"	"5"	"8"
"180907031"	"2018-09-07"	"31"	"7,7,9,3,8"	"7"	"7"	"9"	"3"	"8"
"180907032"	"2018-09-07"	"32"	"0,3,8,4,5"	"0"	"3"	"8"	"4"	"5"
"180907033"	"2018-09-07"	"33"	"1,0,0,2,5"	"1"	"0"	"0"	"2"	"5"
"180907034"	"2018-09-07"	"34"	"4,3,5,6,3"	"4"	"3"	"5"	"6"	"3"
"180907035"	"2018-09-07"	"35"	"3,3,2,9,4"	"3"	"3"	"2"	"9"	"4"
"180907036"	"2018-09-07"	"36"	"6,7,7,7,6"	"6"	"7"	"7"	"7"	"6"
"180907037"	"2018-09-07"	"37"	"6,2,5,5,2"	"6"	"2"	"5"	"5"	"2"
"180907038"	"2018-09-07"	"38"	"7,7,2,1,8"	"7"	"7"	"2"	"1"	"8"
"180907039"	"2018-09-07"	"39"	"8,6,8,6,0"	"8"	"6"	"8"	"6"	"0"
"180907040"	"2018-09-07"	"40"	"0,4,3,8,1"	"0"	"4"	"3"	"8"	"1"
"180907041"	"2018-09-07"	"41"	"0,4,9,5,1"	"0"	"4"	"9"	"5"	"1"
"180907042"	"2018-09-07"	"42"	"6,1,0,4,7"	"6"	"1"	"0"	"4"	"7"
"180907043"	"2018-09-07"	"43"	"9,2,9,5,7"	"9"	"2"	"9"	"5"	"7"
"180907044"	"2018-09-07"	"44"	"4,0,6,5,4"	"4"	"0"	"6"	"5"	"4"
"180907045"	"2018-09-07"	"45"	"5,7,7,0,0"	"5"	"7"	"7"	"0"	"0"
"180907046"	"2018-09-07"	"46"	"8,1,2,3,8"	"8"	"1"	"2"	"3"	"8"
"180907047"	"2018-09-07"	"47"	"5,9,6,4,8"	"5"	"9"	"6"	"4"	"8"
"180907048"	"2018-09-07"	"48"	"8,7,1,1,8"	"8"	"7"	"1"	"1"	"8"
"180907049"	"2018-09-07"	"49"	"0,1,7,7,1"	"0"	"1"	"7"	"7"	"1"
"180907050"	"2018-09-07"	"50"	"3,8,2,6,9"	"3"	"8"	"2"	"6"	"9"
"180907051"	"2018-09-07"	"51"	"8,5,5,1,6"	"8"	"5"	"5"	"1"	"6"
"180907052"	"2018-09-07"	"52"	"3,2,8,2,6"	"3"	"2"	"8"	"2"	"6"
"180907053"	"2018-09-07"	"53"	"9,4,5,2,9"	"9"	"4"	"5"	"2"	"9"
"180907054"	"2018-09-07"	"54"	"5,1,9,8,3"	"5"	"1"	"9"	"8"	"3"
"180907055"	"2018-09-07"	"55"	"6,9,8,8,8"	"6"	"9"	"8"	"8"	"8"
"180907056"	"2018-09-07"	"56"	"4,7,6,8,5"	"4"	"7"	"6"	"8"	"5"
"180907057"	"2018-09-07"	"57"	"3,0,3,1,1"	"3"	"0"	"3"	"1"	"1"
"180907058"	"2018-09-07"	"58"	"3,5,8,6,2"	"3"	"5"	"8"	"6"	"2"
"180907059"	"2018-09-07"	"59"	"0,9,6,1,6"	"0"	"9"	"6"	"1"	"6"
"180907060"	"2018-09-07"	"60"	"2,8,6,7,2"	"2"	"8"	"6"	"7"	"2"
"180907061"	"2018-09-07"	"61"	"4,7,1,2,9"	"4"	"7"	"1"	"2"	"9"
"180907062"	"2018-09-07"	"62"	"6,5,6,7,5"	"6"	"5"	"6"	"7"	"5"
"180907063"	"2018-09-07"	"63"	"3,0,0,2,9"	"3"	"0"	"0"	"2"	"9"
"180907064"	"2018-09-07"	"64"	"6,3,6,6,7"	"6"	"3"	"6"	"6"	"7"
"180907065"	"2018-09-07"	"65"	"9,0,9,8,3"	"9"	"0"	"9"	"8"	"3"
"180907066"	"2018-09-07"	"66"	"3,8,0,4,8"	"3"	"8"	"0"	"4"	"8"
"180907067"	"2018-09-07"	"67"	"4,6,9,2,9"	"4"	"6"	"9"	"2"	"9"
"180907068"	"2018-09-07"	"68"	"1,4,2,3,4"	"1"	"4"	"2"	"3"	"4"
"180907069"	"2018-09-07"	"69"	"2,9,7,1,8"	"2"	"9"	"7"	"1"	"8"
"180907070"	"2018-09-07"	"70"	"5,2,3,8,3"	"5"	"2"	"3"	"8"	"3"
"180907071"	"2018-09-07"	"71"	"2,1,2,9,4"	"2"	"1"	"2"	"9"	"4"
"180907072"	"2018-09-07"	"72"	"0,4,3,7,5"	"0"	"4"	"3"	"7"	"5"
"180907073"	"2018-09-07"	"73"	"4,8,6,3,0"	"4"	"8"	"6"	"3"	"0"
"180907074"	"2018-09-07"	"74"	"5,6,8,8,1"	"5"	"6"	"8"	"8"	"1"
"180907075"	"2018-09-07"	"75"	"0,5,1,0,5"	"0"	"5"	"1"	"0"	"5"
"180907076"	"2018-09-07"	"76"	"3,4,0,8,1"	"3"	"4"	"0"	"8"	"1"
"180907077"	"2018-09-07"	"77"	"7,3,9,0,8"	"7"	"3"	"9"	"0"	"8"
"180907078"	"2018-09-07"	"78"	"1,8,5,2,8"	"1"	"8"	"5"	"2"	"8"
"180907079"	"2018-09-07"	"79"	"4,5,8,8,9"	"4"	"5"	"8"	"8"	"9"
"180907080"	"2018-09-07"	"80"	"1,5,2,0,2"	"1"	"5"	"2"	"0"	"2"
"180907081"	"2018-09-07"	"81"	"6,4,5,5,8"	"6"	"4"	"5"	"5"	"8"
"180907082"	"2018-09-07"	"82"	"7,9,9,0,0"	"7"	"9"	"9"	"0"	"0"
"180907083"	"2018-09-07"	"83"	"2,0,9,1,1"	"2"	"0"	"9"	"1"	"1"
"180907084"	"2018-09-07"	"84"	"2,0,8,7,6"	"2"	"0"	"8"	"7"	"6"
"180907085"	"2018-09-07"	"85"	"7,6,2,0,1"	"7"	"6"	"2"	"0"	"1"
"180907086"	"2018-09-07"	"86"	"7,2,9,4,7"	"7"	"2"	"9"	"4"	"7"
"180907087"	"2018-09-07"	"87"	"4,9,2,7,1"	"4"	"9"	"2"	"7"	"1"
"180907088"	"2018-09-07"	"88"	"0,0,7,8,3"	"0"	"0"	"7"	"8"	"3"
"180907089"	"2018-09-07"	"89"	"1,6,8,8,2"	"1"	"6"	"8"	"8"	"2"
"180907090"	"2018-09-07"	"90"	"5,6,9,0,1"	"5"	"6"	"9"	"0"	"1"
"180907091"	"2018-09-07"	"91"	"4,1,3,4,9"	"4"	"1"	"3"	"4"	"9"
"180907092"	"2018-09-07"	"92"	"0,7,4,5,1"	"0"	"7"	"4"	"5"	"1"
"180907093"	"2018-09-07"	"93"	"2,2,9,3,7"	"2"	"2"	"9"	"3"	"7"
"180907094"	"2018-09-07"	"94"	"4,5,5,8,2"	"4"	"5"	"5"	"8"	"2"
"180907095"	"2018-09-07"	"95"	"7,0,7,8,6"	"7"	"0"	"7"	"8"	"6"
"180907096"	"2018-09-07"	"96"	"5,1,6,2,4"	"5"	"1"	"6"	"2"	"4"
"180907097"	"2018-09-07"	"97"	"7,1,2,1,0"	"7"	"1"	"2"	"1"	"0"
"180907098"	"2018-09-07"	"98"	"3,2,8,1,4"	"3"	"2"	"8"	"1"	"4"
"180907099"	"2018-09-07"	"99"	"8,7,5,4,0"	"8"	"7"	"5"	"4"	"0"
"180907100"	"2018-09-07"	"100"	"8,6,2,1,9"	"8"	"6"	"2"	"1"	"9"
"180907101"	"2018-09-07"	"101"	"7,5,1,4,7"	"7"	"5"	"1"	"4"	"7"
"180907102"	"2018-09-07"	"102"	"3,2,6,9,6"	"3"	"2"	"6"	"9"	"6"
"180907103"	"2018-09-07"	"103"	"7,6,2,2,8"	"7"	"6"	"2"	"2"	"8"
"180907104"	"2018-09-07"	"104"	"8,0,0,5,1"	"8"	"0"	"0"	"5"	"1"
"180907105"	"2018-09-07"	"105"	"0,7,6,8,3"	"0"	"7"	"6"	"8"	"3"
"180907106"	"2018-09-07"	"106"	"8,2,3,4,6"	"8"	"2"	"3"	"4"	"6"
"180907107"	"2018-09-07"	"107"	"5,8,6,0,9"	"5"	"8"	"6"	"0"	"9"
"180907108"	"2018-09-07"	"108"	"7,1,7,4,1"	"7"	"1"	"7"	"4"	"1"
"180907109"	"2018-09-07"	"109"	"1,2,8,6,8"	"1"	"2"	"8"	"6"	"8"
"180907110"	"2018-09-07"	"110"	"2,2,0,8,4"	"2"	"2"	"0"	"8"	"4"
"180907111"	"2018-09-07"	"111"	"2,0,1,8,3"	"2"	"0"	"1"	"8"	"3"
"180907112"	"2018-09-07"	"112"	"0,8,9,4,4"	"0"	"8"	"9"	"4"	"4"
"180907113"	"2018-09-07"	"113"	"0,1,5,8,9"	"0"	"1"	"5"	"8"	"9"
"180907114"	"2018-09-07"	"114"	"5,2,7,5,8"	"5"	"2"	"7"	"5"	"8"
"180907115"	"2018-09-07"	"115"	"3,9,7,3,7"	"3"	"9"	"7"	"3"	"7"
"180907116"	"2018-09-07"	"116"	"0,0,3,1,4"	"0"	"0"	"3"	"1"	"4"
"180907117"	"2018-09-07"	"117"	"0,8,5,2,8"	"0"	"8"	"5"	"2"	"8"
"180907118"	"2018-09-07"	"118"	"3,2,6,3,4"	"3"	"2"	"6"	"3"	"4"
"180907119"	"2018-09-07"	"119"	"0,4,3,8,8"	"0"	"4"	"3"	"8"	"8"
"180907120"	"2018-09-07"	"120"	"7,3,1,5,7"	"7"	"3"	"1"	"5"	"7"
"180907121"	"2018-09-07"	"121"	"6,7,5,7,4"	"6"	"7"	"5"	"7"	"4"
"180907122"	"2018-09-07"	"122"	"1,3,5,8,7"	"1"	"3"	"5"	"8"	"7"
"180907123"	"2018-09-07"	"123"	"3,4,7,0,7"	"3"	"4"	"7"	"0"	"7"
"180907124"	"2018-09-07"	"124"	"4,0,2,9,6"	"4"	"0"	"2"	"9"	"6"
"180907125"	"2018-09-07"	"125"	"0,0,3,9,3"	"0"	"0"	"3"	"9"	"3"
"180907126"	"2018-09-07"	"126"	"1,2,3,4,3"	"1"	"2"	"3"	"4"	"3"
"180907127"	"2018-09-07"	"127"	"8,5,1,5,9"	"8"	"5"	"1"	"5"	"9"
"180907128"	"2018-09-07"	"128"	"6,4,4,3,6"	"6"	"4"	"4"	"3"	"6"
"180907129"	"2018-09-07"	"129"	"1,6,7,5,6"	"1"	"6"	"7"	"5"	"6"
"180907130"	"2018-09-07"	"130"	"5,6,2,8,7"	"5"	"6"	"2"	"8"	"7"
"180907131"	"2018-09-07"	"131"	"1,0,7,6,7"	"1"	"0"	"7"	"6"	"7"
"180907132"	"2018-09-07"	"132"	"1,3,5,9,1"	"1"	"3"	"5"	"9"	"1"
"180907133"	"2018-09-07"	"133"	"1,7,5,1,7"	"1"	"7"	"5"	"1"	"7"
"180907134"	"2018-09-07"	"134"	"4,4,9,4,5"	"4"	"4"	"9"	"4"	"5"
"180907135"	"2018-09-07"	"135"	"9,1,6,5,0"	"9"	"1"	"6"	"5"	"0"
"180907136"	"2018-09-07"	"136"	"9,8,2,5,5"	"9"	"8"	"2"	"5"	"5"
"180907137"	"2018-09-07"	"137"	"5,7,9,7,5"	"5"	"7"	"9"	"7"	"5"
